"gid";"OBJECTID";"IDLUONOT";"DENOM";"Latitudine";"Longitudine";
"1";"35";"37";"CENTRO COMMERCIALE MONTEFIORE";"44.1442726401519";"12.2609043837555";
"2";"1";"2";"STAZIONE F.S.";"44.1453615081447";"12.2494164988721";
"3";"2";"4";"STAZIONE AUTOBUS";"44.1444451075866";"12.2482727131006";
"4";"3";"5";"CENTRO COMMERCIALE Lungo Savio";"44.1447160677555";"12.2380674241666";
"5";"4";"6";"VIGILI DEL FUOCO";"44.1559012853141";"12.2406234407141";
"6";"5";"7";"CENTRO COMMERCIALE Le Terrazze";"44.1370079527878";"12.269598622751";
"7";"6";"8";"BIBLIOTECA Malatestiana";"44.1388913099375";"12.2436896950734";
"8";"7";"9";"OSPEDALE Bufalini";"44.1347104201698";"12.2596552075345";
"9";"8";"10";"CARABINIERI";"44.1355811063934";"12.2476021951967";
"10";"9";"11";"MUNICIPIO";"44.1367522795701";"12.2424643581538";
"11";"10";"12";"PINACOTECA";"44.1378328271486";"12.2480138988202";
"12";"11";"13";"ROCCA MALATESTIANA";"44.1361118075631";"12.2398451996198";
"13";"12";"14";"MUSEO DI STORIA DELL'AGRICOLTURA";"44.1364844662875";"12.2398989409561";
"14";"13";"15";"CANILE MUNICIPALE";"44.0950489681685";"12.2337868603967";
"15";"14";"16";"COMMISSARIATO POLIZIA DI STATO";"44.1317298131906";"12.2479839867529";
"16";"15";"17";"CENTRO ADDESTRAMENTO POLIZIA STRADALE";"44.1368141509138";"12.2353134711629";
"17";"16";"18";"POSTE ITALIANE Sede Centrale";"44.1448454322522";"12.2425751411376";
"18";"17";"19";"STADIO Dino Manuzzi";"44.1403956609943";"12.2618923536463";
"19";"18";"20";"CARISPORT";"44.1454191650827";"12.2269564391786";
"20";"19";"21";"PISTA DI ATLETICA";"44.1467548239299";"12.2267656381324";
"21";"20";"22";"PISCINA";"44.1444461817263";"12.2272722891025";
"22";"21";"23";"IPPODROMO";"44.1445113549364";"12.2308386678002";
"23";"22";"24";"CASELLO A/14 - CESENA NORD";"44.1945157717097";"12.2196809340096";
"24";"23";"25";"CASELLO A/14 - CESENA SUD";"44.1673877285437";"12.2834956115742";
"25";"24";"26";"BASILICA DEL MONTE";"44.1317908681976";"12.2551090143339";
"26";"25";"27";"DUOMO";"44.1374358377819";"12.2454150417779";
"27";"26";"28";"TEATRO Bonci";"44.1357822171171";"12.2482104287209";
"28";"27";"29";"FONTANA Masini";"44.1371352012062";"12.2420978107739";
"29";"28";"30";"CIMITERO URBANO";"44.1304625373992";"12.24429905738";
"30";"29";"31";"CONVENTO CAPPUCCINI";"44.1275279045296";"12.2373542172965";
"31";"30";"32";"CIMITERO DI GUERRA";"44.1489498709377";"12.2606636258385";
"32";"31";"33";"POLIZIA MUNICIPALE";"44.1424298747352";"12.2489802420705";
"33";"32";"35";"MUSEO DI SCIENZE NATURALI";"44.1369964408385";"12.2418003312496";
"34";"33";"36";"MUSEO ARCHEOLOGICO";"44.1391464080467";"12.2441188365532";
"35";"34";"1";"NUOVO CIMITERO URBANO DI CESENA";"44.1296355999753";"12.2104912238966";
